id,Income year,Postcode,Individuals1,Taxable income or loss1 ,Net tax,Gross interest,Net rent,Net capital gain,Total income or loss,Total deductions,Salary or wages,Medicare levy,Medicare levy surcharge,Total work related expenses,Gifts or donations,HELP assessment debt2,0-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85-89 years,90-94 years,95-99 years,100 years and over,Oceanian,North-West European,Southern and Eastern European,North African and Middle Eastern,South-East Asian,North-East Asian,Southern and Central Asian,People of the Americas,Sub-Saharan African,Male,Female,under or 0,$1 to 1000,1000-1999,2000+,Married in a registered marriage,Married in a de facto marriage,Not married
200600800,2006,800,"1,660","80,189,786","19,291,288","982,029","-948,556","2,189,379","84,768,019","4,545,219","66,405,766","959,934","75,734","2,822,606","170,298","260,038",62,39,57,111,323,386,263,212,164,181,179,149,133,73,38,42,27,14,4,3,0,553,1018,130,6,67,95,26,4,3,1482,999,85,1114,476,111,333,269,742
200600810,2006,810,"13,355","625,078,283","140,888,692","5,565,972","-6,677,386","10,236,677","652,244,699","27,017,769","541,684,823","8,715,326","610,893","18,054,427","1,138,952","1,642,494",1706,1763,1820,1875,2046,2099,2167,2137,2140,2123,1930,1930,1195,801,473,310,161,63,29,6,0,7588,10506,2169,145,1226,1023,441,98,237,13600,13180,1248,12535,4605,635,7255,2543,8488
200600812,2006,812,"9,310","430,513,198","95,521,802","2,948,602","-5,188,619","5,747,701","447,131,373","16,575,272","387,968,768","6,018,646","354,976","11,840,366","653,358","823,035",1477,1575,1591,1539,1227,1304,1481,1513,1541,1576,1447,1112,710,412,218,124,86,21,16,3,0,5879,7255,1107,128,1139,1039,364,49,86,9461,9514,948,8521,3126,334,5766,1806,5314
200600820,2006,820,"9,115","501,290,855","128,219,514","5,263,994","-5,609,933","14,737,411","527,167,085","25,752,080","422,907,036","6,182,615","406,521","16,620,684","811,836","1,251,021",1163,1059,916,972,1660,1834,1728,1568,1392,1305,1248,1082,676,392,237,186,103,54,19,7,0,5292,7733,1120,23,352,533,100,87,56,9419,8172,787,7311,3668,870,4498,2012,5212
200600828,2006,828,440,"23,944,386","6,292,688","260,607","-62,955","2,316,623","24,894,721","943,140","17,225,625","337,452","24,403","538,453","23,955","27,004",51,51,122,98,39,47,50,57,73,85,60,82,39,26,7,8,9,0,0,0,0,369,346,30,3,17,19,0,8,0,476,433,60,350,141,26,249,48,203
200600830,2006,830,"8,145","369,188,892","79,956,469","1,260,399","-3,921,718","3,663,834","384,876,509","15,599,694","347,923,168","4,531,598","331,666","12,660,694","507,664","640,860",1781,1619,1620,1192,1150,1367,1485,1528,1354,1110,866,626,392,258,166,117,64,23,12,3,0,5887,6846,461,17,426,253,115,28,21,8423,8318,623,6921,2221,212,4152,1704,3904
200600832,2006,832,"2,970","139,562,478","30,890,833","382,558","-1,554,586","1,117,560","145,361,131","5,794,158","134,556,229","1,724,264","140,950","4,851,519","162,244","245,458",789,699,528,398,579,754,883,692,490,388,271,228,124,65,55,31,12,0,0,0,0,2484,3187,235,4,224,91,47,15,19,3515,3461,254,2874,1286,104,1991,896,1418
200600835,2006,835,"2,585","129,478,026","30,639,655","921,464","-1,127,239","4,059,528","135,344,484","5,660,982","107,754,261","1,848,550","140,880","3,527,186","152,147","118,807",291,352,422,483,518,317,338,429,519,494,470,382,223,158,65,65,21,14,0,0,0,1787,2843,161,3,65,48,16,7,0,3195,2372,259,2602,1042,108,1724,505,1096
200600836,2006,836,"2,945","137,956,138","30,638,226","817,019","-1,030,911","2,198,130","144,009,435","5,755,536","116,564,560","1,947,012","165,540","3,943,698","126,465","146,829",416,468,512,382,189,243,380,573,618,521,430,312,256,112,63,56,13,4,0,0,0,1939,2436,148,3,93,47,7,18,10,2931,2616,277,2293,899,94,1680,641,1156
200600837,2006,837,650,"28,915,658","6,061,449","170,087","-167,257","684,890","29,953,091","979,297","23,751,692","406,932","34,195","738,952","25,667","29,949",37,45,46,20,20,36,43,49,43,42,42,23,22,7,5,3,0,0,0,0,0,160,168,9,0,37,10,0,3,3,259,225,23,190,78,5,144,51,95
200600838,2006,838,120,"4,978,563","1,049,013","121,937","-45,350","19,949","5,154,576","174,131","4,204,591","71,000","4,711","137,615","4,965","8,077",22,48,46,31,10,14,28,52,46,55,46,35,24,9,3,10,0,0,0,0,0,158,201,8,0,14,5,0,3,0,273,213,12,204,67,11,118,57,115
200600840,2006,840,50,"2,277,237","489,026","6,374","-14,165","2,110","2,315,917","38,680","1,617,788","30,382","2,012","28,816","1,753",0,3,5,4,3,7,3,10,8,21,19,42,43,39,19,9,3,0,0,0,0,0,64,120,9,0,0,0,0,0,0,147,95,12,143,13,4,70,20,64
200600841,2006,841,115,"4,349,276","858,759","19,595","-18,912","7,677","4,509,914","160,640","4,043,709","57,319","8,197","143,866","3,641","10,654",84,103,91,49,22,32,63,96,116,89,75,79,57,22,12,8,3,0,0,0,0,294,386,20,0,28,3,0,3,0,552,436,46,365,93,13,211,104,180
